intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,,,,1458,1432,,,,,
1539,0,,,,1495,1414,,,,,
1533,0.3734,,,,1486,1459,,,,,
1573,0.0488,,,,1533,1479,,,,,
1577,0.397,,,,1517,1469,,,,,
1593,0.1378,,,,1608,1509,,,,,
1603,0.4256,,,,1563,1483,,,,,
1623,0.2846,,,,1604,1539,,,,,
1592,0.6316,,,,1621,1527,,,,,
1641,0.3291,,,,1624,1588,,,,,
1655,0.3644,,,,1667,1602,,,,,
1686,0.2124,,,,1671,1638,,,,,
1645,0.7958,,,,1696,1592,,,,,
1704,0.5862,,,,1747,1663,,,,,
1728,0.3352,,,,1728,1665,,,,,
1763,0.4835,,,,1803,1695,,,,,
1743,0.6532,,,,1754,1717,,,,,
1762,0.6613,,,,1825,1790,,,,,
1789,0.624,,,,1854,1757,,,,,
1814,0.6512,,,,1904,1822,,,,,
1821,0.6871,,,,1893,1802,,,,,
1879,0.5378,,,,1944,1862,,,,,
1863,0.7579,,,,1966,1906,,,,,
1882,0.8238,,,,1987,1928,,,,,
1953,0.6599,,,,2033,1943,,,,,
1947,0.7902,,,,2045,1979,,,,,
1985,0.8078,,,,2126,1978,,,,,
2015,0.7781,,,,2174,2040,,,,,
2053,0.6617,,,,2174,2116,,,,,
2087,0.7728,,,,2200,2139,,,,,
2126,1,,,,2208,2152,,,,,
2142,0.8128,,,,2290,2171,,,,,
2177,0.8266,,,,2330,2237,,,,,
2208,0.9281,,,,2332,2299,,,,,
2258,0.8162,,,,2396,2330,,,,,
2303,0.8643,,,,2424,2356,,,,,
2318,0.8621,,,,2464,2473,,,,,
2402,0.7727,,,,2553,2494,,,,,
2449,0.7549,,,,2613,2580,,,,,
2483,0.86,,,,2671,2578,,,,,
2490,0.9438,,,,2711,2643,,,,,
2588,0.7927,,,,2720,2739,,,,,
2615,0.8846,,,,2795,2764,,,,,
2723,0.7552,,,,2890,2785,,,,,
2753,0.8614,,,,2928,2933,,,,,
2849,0.5966,,,,2995,2927,,,,,
2838,0.8254,,,,3061,3022,,,,,
2956,0.7628,,,,3137,3093,,,,,
3022,0.7949,,,,3158,3191,,,,,
3175,0.462,,,,3259,3302,,,,,
3217,0.5248,,,,3360,3346,,,,,
3255,0.6998,,,,3440,3454,,,,,
3364,0.6269,,,,3494,3521,,,,,
3443,0.6696,,,,3582,3661,,,,,
3483,0.7154,,,,3654,3721,,,,,
3592,0.6626,,,,3759,3837,,,,,
3728,0.4952,,,,3813,3982,,,,,
3823,0.5717,,,,3918,4052,,,,,
3950,0.4977,,,,4059,4161,,,,,
4055,0.4356,,,,4188,4294,,,,,
4176,0.4493,,,,4232,4455,,,,,
4263,0.4547,,,,4347,4567,,,,,
4407,0.4525,,,,4497,4698,,,,,
4523,0.3742,,,,4622,4801,,,,,
4618,0.4865,,,,4736,4984,,,,,
4745,0.4143,,,,4865,5120,,,,,
4914,0.3817,,,,4931,5267,,,,,
5122,0.2698,,,,5085,5378,,,,,
5185,0.4303,,,,5246,5553,,,,,
5390,0.3291,,,,5392,5692,,,,,
5511,0.3948,,,,5546,5866,,,,,
5660,0.3799,,,,5650,6069,,,,,
5822,0.4073,,,,5881,6230,,,,,
6031,0.3232,,,,6001,6429,,,,,
6189,0.407,,,,6229,6613,,,,,
6380,0.3867,,,,6310,6805,,,,,
6621,0.2974,,,,6548,6962,,,,,
6846,0.3023,,,,6796,7173,,,,,
7008,0.3449,,,,6927,7375,,,,,
7234,0.3806,,,,7147,7619,,,,,
7471,0.3215,,,,7364,7842,,,,,
7703,0.3909,,,,7572,8066,,,,,
7892,0.3943,,,,7800,8291,,,,,
8240,0.3127,,,,8022,8590,,,,,
8490,0.3336,,,,8296,8793,,,,,
8732,0.3977,,,,8523,9051,,,,,
8979,0.4533,,,,8771,9329,,,,,
9333,0.3647,,,,9026,9595,,,,,
9705,0.3376,,,,9286,9896,,,,,
10047,0.3339,,,,9581,10277,,,,,
10365,0.3656,,,,9842,10428,,,,,
10723,0.3745,,,,10106,10873,,,,,
11145,0.0715,,,,10429,11161,,,,,
11457,0.0715,,,,10721,11422,,,,,
11754,0.0715,,,,11034,11783,,,,,
12188,0.0715,,,,11304,12104,,,,,
12552,0.0715,,,,11681,12543,,,,,
13019,0.0715,,,,12044,12930,,,,,
13557,0.0715,,,,12417,13269,,,,,
13916,0.0715,,,,12704,13557,,,,,
14376,0.0715,,,,12985,13969,,,,,
14859,0.0715,,,,13390,14320,,,,,
15360,0.0715,,,,13784,14745,,,,,
15926,0.0715,,,,14156,15215,,,,,
16525,0.0715,,,,14591,15550,,,,,
17102,0.0715,,,,15054,16009,,,,,
17639,0.0715,,,,15494,16582,,,,,
18374,0.0715,,,,16019,16991,,,,,
18936,0.0715,,,,16540,17513,,,,,
19605,0.0715,,,,16917,17965,,,,,
20333,0.0715,,,,17527,18472,,,,,
21100,0.0715,,,,18050,19042,,,,,
21842,0.0715,,,,18571,19467,,,,,
22651,0.0715,,,,19159,20004,,,,,
23406,0.0715,,,,19742,20597,,,,,
24263,0.0715,,,,20325,21178,,,,,
25174,0.0715,,,,20912,21827,,,,,
25998,0.0715,,,,21630,22367,,,,,
26958,0.0715,,,,22282,23016,,,,,
27954,0.0715,,,,22951,23790,,,,,
28996,0.0715,,,,23555,24361,,,,,
30017,0.0715,,,,24445,25136,,,,,
31219,0.0715,,,,25153,25806,,,,,
32349,0.0715,,,,25979,26554,,,,,
