intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
1539,0.1264,1317,1183,1051,1018,1072,1009,916,939,863,871,885,917,1081
1539,0,1319,1188,1050,1011,1080,1015,938,969,874,884,883,942,1069
1533,0.3734,1305,1191,1062,997,1097,1034,927,873,907,879,934,1003,1095
1573,0.0488,1319,1244,1077,1051,1128,1068,930,990,888,856,911,992,1064
1577,0.397,1374,1204,1081,1061,1112,1069,968,967,930,881,936,1021,1108
1593,0.1378,1369,1245,1083,1063,1134,1071,956,998,881,878,946,1001,1124
1603,0.4256,1411,1221,1103,1079,1159,1088,1005,1011,936,907,937,1029,1134
1623,0.2846,1380,1274,1122,1086,1168,1071,981,1020,940,888,964,1030,1095
1592,0.6316,1400,1272,1138,1073,1164,1101,1000,1050,950,909,984,1013,1134
1641,0.3291,1413,1314,1170,1068,1157,1113,1008,1028,970,931,970,1053,1158
1655,0.3644,1472,1298,1166,1130,1174,1147,1003,1028,971,948,992,1041,1154
1686,0.2124,1485,1315,1166,1105,1216,1154,1018,1043,986,945,965,1101,1151
1645,0.7958,1513,1341,1185,1139,1230,1172,1045,1058,992,960,1001,1120,1185
1704,0.5862,1500,1359,1218,1203,1251,1160,1042,1087,1011,969,1003,1084,1240
1728,0.3352,1522,1371,1214,1148,1241,1187,1043,1077,993,995,1029,1063,1223
1763,0.4835,1556,1416,1228,1195,1306,1204,1088,1100,1044,1020,1022,1129,1245
1743,0.6532,1563,1438,1233,1165,1279,1188,1086,1106,1052,980,1054,1114,1282
1762,0.6613,1606,1429,1273,1217,1307,1227,1112,1143,1016,990,1083,1134,1282
1789,0.624,1621,1471,1264,1231,1347,1256,1115,1142,1077,1014,1043,1143,1282
1814,0.6512,1664,1475,1325,1262,1348,1230,1141,1167,1062,1009,1087,1141,1293
1821,0.6871,1703,1522,1287,1279,1370,1284,1155,1172,1064,1056,1109,1218,1322
1879,0.5378,1697,1527,1332,1253,1402,1291,1145,1195,1125,1037,1111,1207,1330
1863,0.7579,1753,1526,1373,1270,1417,1323,1172,1210,1071,1074,1093,1226,1402
1882,0.8238,1741,1557,1359,1283,1472,1313,1171,1263,1083,1048,1150,1249,1396
1953,0.6599,1806,1582,1374,1332,1465,1337,1212,1254,1132,1082,1148,1232,1397
1947,0.7902,1808,1605,1426,1330,1472,1396,1220,1233,1108,1080,1168,1285,1406
1985,0.8078,1844,1656,1434,1373,1519,1406,1205,1275,1156,1131,1150,1312,1426
2015,0.7781,1836,1673,1458,1383,1546,1382,1272,1295,1163,1122,1187,1307,1464
2053,0.6617,1906,1661,1520,1410,1547,1446,1250,1331,1169,1111,1213,1372,1505
2087,0.7728,1957,1714,1547,1442,1586,1480,1294,1350,1199,1159,1253,1381,1525
2126,1,1945,1721,1568,1449,1604,1483,1318,1357,1245,1169,1250,1409,1544
2142,0.8128,1989,1774,1559,1479,1648,1516,1342,1389,1245,1192,1244,1375,1588
2177,0.8266,2045,1832,1618,1495,1683,1485,1356,1411,1261,1203,1284,1423,1637
2208,0.9281,2068,1826,1643,1540,1695,1571,1367,1415,1284,1223,1287,1452,1621
2258,0.8162,2106,1878,1645,1587,1761,1600,1416,1441,1310,1234,1296,1506,1647
