intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
1539,0.1264,1573,1620,1604,1606,1583,1495,1507,1385,1304,1198,1115,1091,1026
1539,0,1578,1625,1656,1631,1619,1515,1510,1399,1309,1217,1137,1056,997
1533,0.3734,1644,1647,1658,1674,1609,1530,1557,1396,1291,1220,1133,1079,1056
1573,0.0488,1620,1661,1680,1677,1634,1552,1561,1410,1335,1210,1163,1108,1023
1577,0.397,1655,1700,1725,1680,1694,1569,1581,1441,1342,1249,1141,1107,1078
1593,0.1378,1636,1713,1726,1717,1722,1582,1608,1439,1389,1264,1157,1108,1072
1603,0.4256,1672,1739,1754,1736,1704,1589,1613,1475,1404,1298,1188,1153,1060
1623,0.2846,1699,1777,1791,1758,1707,1622,1604,1445,1403,1268,1166,1161,1084
1592,0.6316,1718,1771,1808,1789,1750,1644,1668,1500,1416,1312,1211,1172,1108
1641,0.3291,1737,1796,1802,1780,1766,1674,1667,1509,1460,1299,1233,1176,1139
1655,0.3644,1759,1836,1850,1834,1795,1663,1669,1548,1480,1352,1214,1204,1129
1686,0.2124,1780,1844,1884,1839,1814,1717,1736,1523,1497,1354,1253,1230,1136
1645,0.7958,1815,1844,1886,1878,1872,1708,1707,1550,1507,1344,1264,1246,1113
1704,0.5862,1859,1886,1899,1879,1817,1753,1739,1581,1515,1364,1262,1240,1170
1728,0.3352,1853,1881,1906,1908,1862,1774,1810,1611,1567,1402,1304,1267,1175
1763,0.4835,1901,1908,1980,1964,1920,1793,1792,1614,1554,1410,1291,1252,1187
1743,0.6532,1893,1976,2018,2008,1948,1784,1826,1647,1606,1413,1296,1257,1222
1762,0.6613,1925,1978,1992,2068,1960,1879,1857,1637,1626,1420,1322,1327,1217
1789,0.624,1963,2059,2041,2047,2011,1876,1875,1711,1612,1457,1337,1305,1222
1814,0.6512,1972,2024,2106,2121,2064,1875,1899,1719,1677,1480,1377,1320,1214
1821,0.6871,2040,2086,2130,2126,2078,1931,1937,1742,1672,1511,1365,1326,1253
1879,0.5378,2033,2083,2125,2155,2043,1965,1986,1774,1732,1517,1412,1321,1302
1863,0.7579,2055,2122,2139,2159,2127,1965,1992,1824,1747,1571,1404,1355,1293
1882,0.8238,2139,2178,2228,2235,2118,2034,2011,1823,1740,1586,1426,1378,1311
1953,0.6599,2126,2186,2252,2245,2198,2027,2098,1868,1842,1596,1461,1395,1334
1947,0.7902,2166,2245,2283,2287,2227,2046,2080,1876,1808,1616,1464,1416,1358
1985,0.8078,2202,2267,2293,2312,2228,2102,2139,1916,1865,1659,1536,1443,1393
2015,0.7781,2273,2276,2337,2350,2280,2143,2188,1933,1926,1647,1516,1478,1423
2053,0.6617,2280,2324,2405,2360,2302,2212,2208,1970,1966,1710,1534,1464,1400
2087,0.7728,2331,2345,2461,2418,2340,2218,2247,2013,1979,1723,1566,1532,1440
2126,1,2352,2361,2460,2462,2374,2268,2272,2029,2002,1748,1546,1503,1450
2142,0.8128,2376,2402,2548,2499,2402,2284,2340,2117,2057,1798,1615,1574,1477
2177,0.8266,2446,2441,2587,2553,2464,2338,2359,2122,2075,1790,1643,1547,1523
2208,0.9281,2500,2528,2581,2638,2509,2290,2411,2151,2135,1861,1670,1624,1545
2258,0.8162,2515,2570,2677,2655,2590,2474,2490,2201,2145,1905,1744,1638,1516
2303,0.8643,2588,2530,2755,2706,2588,2473,2485,2217,2176,1929,1721,1668,1598
2318,0.8621,2609,2655,2757,2737,2659,2499,2574,2293,2215,1957,1759,1694,1655
2402,0.7727,2700,2693,2811,2835,2696,2543,2577,2307,2262,2016,1770,1729,1638
2449,0.7549,2802,2735,2920,2891,2805,2660,2704,2428,2338,2004,1836,1728,1704
2483,0.86,2821,2798,2898,2935,2771,2654,2675,2443,2379,2073,1884,1773,1698
2490,0.9438,2914,2837,2947,2938,2828,2688,2736,2467,2377,2104,1860,1822,1736
2588,0.7927,2918,2859,3031,3016,2873,2744,2848,2544,2414,2168,1921,1864,1771
2615,0.8846,2957,2957,3035,3060,2960,2784,2857,2566,2493,2200,1939,1899,1786
2723,0.7552,3013,2990,3112,3123,2993,2916,2913,2610,2551,2237,2001,1899,1853
2753,0.8614,3094,3067,3209,3263,3072,2888,2985,2675,2600,2271,2019,1964,1874
2849,0.5966,3121,3079,3252,3294,3115,2990,3072,2749,2608,2293,2079,1960,1926
2838,0.8254,3234,3174,3340,3368,3163,3026,3091,2812,2660,2358,2152,2037,1978
2956,0.7628,3271,3216,3392,3414,3206,3085,3174,2866,2713,2424,2158,2065,2012
3022,0.7949,3377,3290,3463,3534,3327,3171,3208,2974,2785,2477,2271,2116,2087
3175,0.462,3453,3387,3538,3596,3390,3213,3321,3013,2844,2570,2272,2160,2113
3217,0.5248,3497,3438,3635,3699,3473,3281,3425,3109,2945,2611,2343,2258,2168
3255,0.6998,3558,3493,3692,3775,3515,3372,3464,3154,2970,2664,2360,2268,2215
3364,0.6269,3658,3608,3796,3841,3611,3422,3552,3213,3038,2698,2410,2351,2259
3443,0.6696,3713,3655,3886,3939,3648,3534,3675,3293,3147,2800,2493,2379,2295
3483,0.7154,3842,3745,3950,4004,3771,3623,3734,3409,3190,2841,2571,2427,2376
3592,0.6626,3880,3829,4074,4117,3884,3712,3818,3395,3229,2939,2616,2462,2430
3728,0.4952,4006,3952,4142,4206,3918,3752,3889,3558,3336,3040,2672,2564,2529
3823,0.5717,4067,4012,4247,4328,4064,3888,3966,3665,3429,3069,2746,2592,2539
3950,0.4977,4174,4146,4339,4425,4110,3942,4127,3738,3504,3145,2842,2676,2596
4055,0.4356,4226,4205,4442,4531,4236,4068,4188,3829,3588,3239,2886,2724,2647
4176,0.4493,4280,4304,4515,4686,4316,4162,4278,3964,3688,3314,2951,2794,2772
4263,0.4547,4422,4359,4627,4761,4395,4270,4446,4018,3777,3400,3088,2859,2833
4407,0.4525,4557,4523,4752,4915,4514,4390,4527,4124,3831,3490,3117,2913,2890
4523,0.3742,4641,4624,4846,5033,4639,4436,4638,4257,3949,3592,3204,3029,3003
4618,0.4865,4737,4728,4922,5113,4729,4539,4723,4338,4031,3674,3325,3067,3010
4745,0.4143,4853,4839,5084,5236,4760,4688,4857,4405,4153,3774,3363,3139,3133
4914,0.3817,4894,4971,5193,5404,4931,4749,4991,4592,4194,3930,3482,3238,3179
5122,0.2698,5054,5070,5361,5502,5038,4904,5100,4665,4325,4019,3576,3321,3321
5185,0.4303,5165,5172,5451,5720,5150,5048,5234,4809,4452,4117,3652,3395,3389
5390,0.3291,5353,5278,5590,5829,5275,5181,5392,4890,4591,4245,3750,3489,3496
5511,0.3948,5409,5450,5748,5969,5435,5300,5512,5087,4647,4391,3857,3555,3595
5660,0.3799,5580,5592,5915,6164,5502,5412,5589,5169,4780,4475,3960,3685,3716
5822,0.4073,5685,5705,6016,6292,5685,5568,5726,5350,4937,4624,4079,3753,3806
6031,0.3232,5850,5910,6149,6462,5830,5721,5958,5443,5029,4745,4215,3879,3917
6189,0.407,5974,6021,6278,6634,5918,5862,6105,5608,5187,4919,4286,3986,4020
6380,0.3867,6118,6191,6437,6774,6149,6012,6244,5736,5271,5072,4418,4074,4154
6621,0.2974,6308,6307,6617,6968,6287,6152,6462,5892,5505,5252,4546,4275,4298
6846,0.3023,6415,6558,6841,7148,6445,6384,6640,6041,5596,5379,4644,4352,4408
7008,0.3449,6631,6737,7019,7366,6573,6474,6813,6248,5765,5541,4840,4494,4547
7234,0.3806,6760,6889,7156,7581,6785,6688,6952,6435,5952,5745,5004,4625,4664
7471,0.3215,6957,7072,7377,7774,6937,6907,7212,6630,6106,5904,5144,4801,4828
7703,0.3909,7133,7287,7562,7929,7142,7068,7400,6785,6280,6092,5268,4888,5052
7892,0.3943,7367,7476,7775,8218,7366,7250,7630,7023,6464,6227,5406,5041,5163
8240,0.3127,7548,7676,8005,8406,7541,7583,7862,7162,6700,6470,5645,5222,5358
8490,0.3336,7788,7847,8252,8634,7757,7742,8082,7433,6866,6686,5770,5336,5532
8732,0.3977,8035,8125,8444,8848,7966,7955,8283,7601,7049,6892,5975,5531,5676
8979,0.4533,8209,8323,8650,9099,8158,8179,8525,7842,7315,7162,6148,5710,5883
9333,0.3647,8486,8502,8942,9296,8405,8473,8724,8083,7500,7258,6349,5879,6055
9705,0.3376,8752,8857,9289,9601,8668,8781,9068,8354,7746,7566,6563,6125,6249
10047,0.3339,9066,9204,9497,9900,8997,9074,9377,8675,8062,7820,6778,6404,6500
10365,0.3656,9232,9346,9797,10102,9182,9265,9593,8871,8243,8064,6950,6531,6736
10723,0.3745,9552,9642,10027,10351,9526,9548,9882,9082,8575,8327,7186,6699,6951
11145,0.0715,9918,9953,10367,10764,9816,9922,10197,9426,8744,8603,7422,6950,7171
11457,0.0715,10205,10190,10602,10974,10034,10150,10417,9664,8986,8804,7647,7165,7350
11754,0.0715,10509,10466,10959,11258,10363,10458,10825,9949,9385,9206,7941,7520,7666
12188,0.0715,10832,10851,11269,11606,10696,10852,11133,10222,9621,9472,8208,7719,7945
12552,0.0715,11146,11171,11556,11919,10944,11212,11488,10617,10008,9811,8443,7971,8247
13019,0.0715,11618,11596,11996,12412,11420,11671,11883,11015,10392,10158,8847,8278,8572
13557,0.0715,11988,11890,12444,12789,11762,11946,12246,11416,10780,10573,9143,8617,8879
13916,0.0715,12319,12248,12686,13010,12059,12241,12663,11649,11059,10817,9427,8857,9153
14376,0.0715,12749,12585,13106,13432,12453,12665,13038,11982,11474,11199,9731,9247,9518
14859,0.0715,13170,12989,13481,13825,12779,13013,13387,12423,11801,11533,10083,9557,9846
15360,0.0715,13663,13466,13933,14233,13250,13487,13856,12815,12179,11990,10414,9912,10216
15926,0.0715,14062,13945,14353,14741,13719,13912,14307,13273,12664,12432,10758,10228,10522
16525,0.0715,14532,14365,14823,15178,14103,14378,14754,13737,13095,12824,11195,10630,11011
17102,0.0715,15062,14887,15298,15718,14583,14860,15280,14276,13714,13408,11574,11087,11467
17639,0.0715,15672,15407,15789,16200,15136,15400,15810,14763,14190,13883,12056,11491,11934
18374,0.0715,16212,15988,16320,16762,15740,15913,16315,15278,14664,14431,12558,11947,12392
18936,0.0715,16789,16494,16835,17329,16178,16363,16876,15793,15217,14976,12977,12458,12857
19605,0.0715,17409,17014,17440,17860,16805,16974,17380,16397,15869,15455,13458,12935,13317
20333,0.0715,18015,17703,17953,18585,17432,17638,18124,17049,16570,16231,14006,13554,13996
21100,0.0715,18773,18258,18604,19084,18073,18160,18562,17576,17099,16890,14407,13980,14486
21842,0.0715,19365,18995,19143,19719,18620,18818,19272,18240,17758,17482,14988,14575,15114
22651,0.0715,20013,19636,19699,20334,19290,19368,19872,18952,18519,18119,15533,15107,15738
23406,0.0715,20781,20343,20411,21078,19923,19982,20549,19650,19117,18848,16100,15702,16384
24263,0.0715,21459,21138,21147,21686,20744,20674,21236,20431,19927,19674,16826,16452,16990
25174,0.0715,22254,21924,21824,22605,21433,21402,21902,21105,20779,20497,17389,17131,17715
25998,0.0715,23038,22690,22602,23287,22141,22139,22646,21926,21632,21280,18195,17854,18496
26958,0.0715,23824,23486,23373,24097,23093,22868,23426,22738,22509,22126,18864,18569,19268
27954,0.0715,24796,24413,24199,24942,23817,23590,24256,23676,23428,23000,19614,19390,20115
28996,0.0715,25711,25261,25088,25740,24706,24483,25135,24434,24390,23993,20481,20152,20849
30017,0.0715,26596,26229,25970,26707,25616,25436,26031,25487,25324,24947,21226,21128,21701
31219,0.0715,27629,27279,26797,27684,26618,26200,26988,26550,26435,26031,22092,22052,22641
32349,0.0715,28590,28397,27805,28592,27512,27197,27926,27503,27404,27044,23034,22980,23605
33395,0.0715,29542,29442,28828,29542,28534,28193,28828,28638,28543,28102,24025,23861,24571
34536,0.0715,30577,30511,29790,30650,29557,29090,29808,29606,29605,29171,24936,24988,25654
