intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1236,1183,1321,1436,1409,1362,1395,1374
1539,0,1224,1244,1365,1443,1424,1318,1427,1390
1533,0.3734,1209,1238,1357,1439,1429,1326,1432,1408
1573,0.0488,1226,1210,1377,1471,1447,1383,1481,1409
1577,0.397,1277,1246,1350,1477,1466,1402,1514,1455
1593,0.1378,1283,1262,1395,1462,1504,1376,1487,1426
1603,0.4256,1278,1271,1362,1505,1515,1416,1521,1482
1623,0.2846,1292,1232,1387,1495,1497,1418,1567,1502
1592,0.6316,1318,1287,1441,1497,1549,1424,1571,1523
1641,0.3291,1303,1263,1421,1565,1536,1453,1582,1538
1655,0.3644,1335,1320,1414,1552,1571,1465,1640,1547
1686,0.2124,1339,1299,1457,1560,1572,1485,1634,1564
1645,0.7958,1343,1312,1443,1590,1623,1485,1675,1551
1704,0.5862,1360,1361,1459,1561,1605,1537,1684,1601
1728,0.3352,1392,1332,1419,1595,1632,1557,1727,1635
1763,0.4835,1379,1354,1524,1623,1670,1555,1699,1615
1743,0.6532,1393,1371,1503,1618,1664,1605,1765,1646
1762,0.6613,1433,1380,1519,1640,1686,1602,1771,1692
1789,0.624,1466,1384,1551,1664,1734,1631,1794,1679
1814,0.6512,1467,1398,1597,1701,1783,1657,1842,1741
1821,0.6871,1485,1396,1571,1712,1761,1697,1828,1701
1879,0.5378,1497,1457,1587,1715,1819,1739,1924,1786
1863,0.7579,1489,1477,1612,1711,1833,1799,1919,1736
1882,0.8238,1592,1452,1625,1749,1858,1765,1942,1834
1953,0.6599,1556,1472,1647,1781,1880,1844,1960,1868
1947,0.7902,1585,1484,1670,1805,1938,1834,2012,1904
1985,0.8078,1591,1532,1687,1794,1955,1858,2021,1907
2015,0.7781,1627,1544,1711,1829,2007,1896,2069,1940
2053,0.6617,1648,1570,1706,1871,2016,1930,2118,2017
2087,0.7728,1730,1564,1779,1945,2121,1945,2137,2026
2126,1,1708,1578,1785,1947,2068,1971,2177,2057
2142,0.8128,1722,1633,1787,1941,2164,2033,2193,2081
2177,0.8266,1745,1623,1841,1987,2169,2079,2218,2132
2208,0.9281,1778,1684,1902,1993,2205,2104,2259,2168
2258,0.8162,1840,1681,1883,2057,2229,2119,2346,2281
2303,0.8643,1805,1705,1906,2092,2298,2158,2340,2277
2318,0.8621,1880,1750,1913,2129,2310,2218,2398,2323
2402,0.7727,1911,1764,2001,2126,2376,2226,2449,2345
2449,0.7549,1957,1812,2057,2220,2455,2323,2527,2417
2483,0.86,1994,1851,2097,2232,2429,2327,2548,2462
2490,0.9438,2025,1802,2058,2227,2451,2372,2592,2511
2588,0.7927,2014,1840,2098,2307,2453,2419,2579,2554
2615,0.8846,2103,1945,2108,2333,2550,2443,2678,2604
2723,0.7552,2102,1948,2172,2379,2611,2543,2771,2665
2753,0.8614,2157,1989,2222,2438,2621,2559,2779,2682
2849,0.5966,2175,2066,2220,2472,2685,2617,2848,2749
2838,0.8254,2226,2068,2278,2548,2718,2672,2923,2843
2956,0.7628,2270,2102,2275,2544,2781,2723,2968,2883
3022,0.7949,2351,2172,2371,2624,2867,2789,3054,2953
3175,0.462,2395,2186,2398,2637,2897,2865,3141,3017
3217,0.5248,2413,2244,2451,2728,2939,2860,3183,3072
3255,0.6998,2512,2305,2498,2747,2973,2981,3266,3206
