intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,960,963,1064,1116,1061,1149,1053,994,980,952
1539,0,980,991,1063,1093,1023,1148,1058,984,955,944
1533,0.3734,994,974,1065,1120,1085,1187,1072,963,1030,947
1573,0.0488,976,965,1089,1125,1049,1211,1089,1008,1028,1000
1577,0.397,988,973,1095,1139,1092,1222,1086,979,1035,936
1593,0.1378,986,993,1119,1147,1093,1197,1105,1011,976,995
1603,0.4256,998,1025,1145,1146,1088,1268,1120,1060,1059,997
1623,0.2846,1002,1001,1113,1154,1084,1249,1143,1019,1043,1008
1592,0.6316,1046,970,1126,1164,1103,1262,1138,1055,1080,1055
1641,0.3291,1005,1034,1167,1173,1110,1253,1181,1060,1049,1020
1655,0.3644,1067,1008,1158,1210,1156,1310,1183,1091,1083,1067
1686,0.2124,1021,1052,1173,1216,1181,1305,1170,1061,1138,1028
1645,0.7958,1030,1050,1181,1248,1169,1288,1224,1114,1101,1073
1704,0.5862,1074,1063,1217,1223,1205,1338,1221,1095,1144,1102
1728,0.3352,1045,1128,1193,1284,1206,1379,1256,1118,1156,1118
1763,0.4835,1059,1087,1225,1270,1180,1393,1265,1123,1178,1123
1743,0.6532,1085,1105,1257,1305,1236,1411,1296,1123,1206,1117
1762,0.6613,1062,1150,1239,1290,1240,1441,1312,1138,1213,1137
1789,0.624,1072,1131,1288,1355,1292,1459,1350,1145,1223,1157
1814,0.6512,1132,1162,1296,1369,1315,1482,1342,1167,1266,1172
1821,0.6871,1110,1167,1330,1403,1338,1476,1369,1217,1305,1178
1879,0.5378,1128,1223,1334,1397,1316,1532,1368,1207,1257,1238
1863,0.7579,1107,1188,1324,1415,1355,1601,1378,1222,1350,1240
1882,0.8238,1133,1231,1343,1441,1363,1589,1420,1263,1322,1242
1953,0.6599,1140,1200,1353,1448,1419,1614,1458,1207,1365,1258
1947,0.7902,1204,1251,1403,1479,1418,1618,1475,1241,1383,1301
1985,0.8078,1195,1241,1464,1523,1467,1671,1487,1303,1431,1310
2015,0.7781,1233,1295,1429,1550,1486,1710,1531,1299,1458,1314
2053,0.6617,1208,1282,1463,1584,1457,1690,1530,1332,1477,1329
2087,0.7728,1283,1329,1469,1601,1550,1744,1586,1334,1469,1408
2126,1,1289,1357,1502,1659,1541,1789,1586,1359,1530,1392
2142,0.8128,1285,1414,1546,1667,1551,1803,1654,1399,1545,1415
2177,0.8266,1302,1411,1573,1735,1615,1826,1629,1429,1628,1450
2208,0.9281,1312,1446,1564,1711,1600,1862,1712,1432,1635,1492
2258,0.8162,1333,1470,1621,1774,1656,1921,1752,1462,1684,1518
2303,0.8643,1372,1525,1600,1790,1676,1970,1780,1456,1720,1552
2318,0.8621,1368,1533,1654,1850,1724,1983,1892,1524,1789,1611
2402,0.7727,1495,1610,1706,1894,1797,2027,1839,1528,1813,1632
2449,0.7549,1460,1624,1755,1962,1800,2079,1942,1577,1838,1692
2483,0.86,1448,1700,1755,1965,1816,2092,1942,1586,1860,1734
2490,0.9438,1542,1687,1816,2015,1877,2149,1963,1605,1887,1752
2588,0.7927,1529,1702,1826,2064,1908,2176,2036,1646,1937,1867
2615,0.8846,1563,1749,1885,2100,1969,2209,2094,1668,1997,1856
2723,0.7552,1557,1846,1958,2242,1977,2296,2105,1691,2041,1911
2753,0.8614,1644,1875,1941,2208,2006,2322,2135,1717,2107,1930
2849,0.5966,1662,1896,2050,2303,2030,2387,2201,1765,2115,1982
2838,0.8254,1713,1939,2033,2336,2087,2416,2256,1802,2174,2096
2956,0.7628,1710,2008,2113,2415,2119,2444,2334,1818,2241,2096
3022,0.7949,1757,2105,2163,2481,2150,2522,2342,1883,2329,2168
3175,0.462,1846,2140,2217,2542,2236,2599,2419,1926,2342,2216
3217,0.5248,1846,2173,2292,2595,2250,2673,2523,1972,2446,2275
3255,0.6998,1879,2257,2306,2688,2320,2717,2565,1987,2499,2352
3364,0.6269,1974,2329,2367,2704,2365,2774,2592,2081,2531,2400
3443,0.6696,2024,2391,2468,2862,2426,2861,2679,2068,2624,2495
3483,0.7154,2102,2466,2545,2878,2440,2935,2745,2152,2659,2580
3592,0.6626,2152,2557,2594,2988,2573,2963,2809,2225,2733,2643
3728,0.4952,2165,2657,2665,3073,2634,3063,2826,2288,2862,2761
3823,0.5717,2315,2739,2722,3121,2686,3153,2960,2318,2919,2814
3950,0.4977,2330,2831,2822,3262,2783,3199,3018,2363,2991,2912
4055,0.4356,2360,2917,2853,3335,2870,3300,3134,2425,3081,3016
4176,0.4493,2490,2991,2937,3458,2938,3425,3204,2541,3155,3145
4263,0.4547,2573,3165,3046,3553,2976,3494,3280,2597,3273,3189
4407,0.4525,2669,3265,3214,3619,3106,3574,3376,2650,3344,3319
4523,0.3742,2742,3392,3232,3751,3183,3692,3466,2769,3448,3387
4618,0.4865,2821,3521,3360,3842,3307,3786,3556,2851,3501,3492
4745,0.4143,2893,3628,3496,3952,3384,3872,3697,2981,3614,3612
4914,0.3817,2959,3794,3588,4125,3501,3984,3742,3043,3748,3750
5122,0.2698,3145,3913,3638,4218,3577,4089,3889,3104,3876,3808
5185,0.4303,3216,4056,3801,4316,3705,4223,3982,3218,3939,3975
5390,0.3291,3348,4206,3891,4438,3794,4362,4118,3407,4014,4082
5511,0.3948,3437,4352,4036,4595,3914,4445,4191,3479,4170,4264
5660,0.3799,3576,4545,4154,4734,4060,4644,4356,3596,4323,4323
5822,0.4073,3707,4716,4280,4860,4200,4735,4469,3710,4413,4468
6031,0.3232,3810,4893,4438,4996,4378,4871,4582,3827,4560,4628
6189,0.407,3943,5056,4593,5195,4417,5033,4770,3943,4700,4783
6380,0.3867,4086,5273,4767,5346,4564,5153,4851,4100,4802,4954
6621,0.2974,4216,5519,4903,5489,4722,5349,4998,4272,4995,5088
6846,0.3023,4434,5701,5043,5700,4876,5468,5130,4417,5160,5233
7008,0.3449,4563,5958,5280,5883,5075,5656,5376,4598,5286,5462
7234,0.3806,4737,6158,5459,6077,5244,5807,5523,4781,5448,5541
7471,0.3215,4865,6380,5638,6196,5452,5966,5641,4949,5660,5773
7703,0.3909,5065,6622,5828,6395,5624,6194,5812,5149,5796,5990
7892,0.3943,5303,6840,6003,6645,5792,6369,6077,5285,5997,6106
8240,0.3127,5469,7134,6289,6897,6014,6596,6209,5493,6152,6383
8490,0.3336,5639,7417,6486,7109,6278,6795,6445,5781,6454,6565
8732,0.3977,5898,7789,6711,7335,6448,6976,6629,5992,6628,6772
8979,0.4533,6107,8001,6989,7587,6695,7233,6850,6184,6860,6982
9333,0.3647,6405,8294,7262,7773,7019,7435,7121,6402,7085,7303
9705,0.3376,6648,8606,7562,8148,7243,7742,7398,6683,7380,7518
10047,0.3339,6979,9006,7910,8453,7619,8038,7706,7044,7647,7853
10365,0.3656,7148,9313,8158,8654,7766,8271,7956,7215,7863,8036
10723,0.3745,7456,9670,8498,9009,8052,8615,8175,7465,8233,8389
11145,0.0715,7844,10068,8856,9387,8390,8893,8543,7807,8505,8615
11457,0.0715,8107,10373,9220,9643,8611,9104,8860,8084,8728,8989
11754,0.0715,8449,10824,9504,9996,8987,9453,9134,8406,9054,9275
12188,0.0715,8814,11224,9828,10382,9381,9805,9451,8705,9417,9580
12552,0.0715,9198,11648,10267,10736,9653,10109,9847,9073,9790,9997
13019,0.0715,9667,12144,10807,11230,10124,10618,10341,9499,10248,10426
13557,0.0715,10075,12631,11239,11751,10421,11010,10643,9843,10601,10817
13916,0.0715,10519,13013,11579,12049,10798,11312,11088,10176,10901,11175
14376,0.0715,10963,13599,12064,12583,11262,11697,11455,10571,11378,11594
14859,0.0715,11402,13993,12609,12970,11682,12119,11990,11061,11755,12047
15360,0.0715,11974,14546,13071,13581,12066,12668,12394,11490,12325,12577
15926,0.0715,12478,15098,13611,14104,12672,13120,12908,11989,12777,13138
