intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1539,0.1264,1340,1283,1219,1178,1285,1516,1462,1346,1337,1285
1539,0,1349,1326,1211,1175,1326,1523,1477,1389,1403,1304
1533,0.3734,1354,1345,1271,1194,1330,1519,1472,1361,1419,1280
1573,0.0488,1434,1314,1266,1226,1326,1567,1530,1375,1431,1306
1577,0.397,1379,1357,1265,1246,1388,1548,1536,1404,1431,1338
1593,0.1378,1397,1361,1310,1263,1392,1581,1551,1421,1440,1342
1603,0.4256,1417,1373,1329,1249,1377,1603,1547,1445,1460,1356
1623,0.2846,1433,1400,1295,1281,1417,1607,1560,1480,1490,1392
1592,0.6316,1463,1395,1320,1270,1440,1644,1586,1472,1505,1402
1641,0.3291,1497,1405,1386,1283,1433,1655,1593,1481,1514,1405
1655,0.3644,1525,1429,1333,1310,1484,1654,1623,1476,1559,1440
1686,0.2124,1540,1454,1356,1293,1501,1686,1655,1561,1553,1457
1645,0.7958,1520,1437,1371,1334,1516,1740,1637,1547,1585,1495
1704,0.5862,1542,1451,1399,1313,1534,1745,1676,1571,1588,1512
1728,0.3352,1562,1503,1441,1379,1517,1760,1714,1573,1626,1520
1763,0.4835,1576,1503,1453,1377,1569,1779,1735,1590,1627,1527
1743,0.6532,1614,1532,1463,1399,1585,1832,1747,1597,1675,1531
1762,0.6613,1622,1585,1484,1422,1607,1862,1793,1613,1672,1553
1789,0.624,1653,1627,1470,1408,1625,1868,1802,1656,1694,1592
1814,0.6512,1681,1598,1516,1445,1670,1888,1839,1687,1735,1634
1821,0.6871,1704,1578,1517,1454,1690,1904,1889,1725,1722,1674
1879,0.5378,1737,1611,1583,1471,1698,1941,1837,1754,1758,1659
1863,0.7579,1746,1640,1581,1515,1712,1976,1877,1756,1783,1650
1882,0.8238,1766,1675,1561,1506,1728,2015,1953,1787,1795,1675
1953,0.6599,1776,1685,1613,1546,1756,2019,1925,1817,1776,1720
1947,0.7902,1823,1719,1622,1563,1774,2072,1955,1843,1854,1697
1985,0.8078,1851,1729,1609,1556,1830,2095,2032,1869,1888,1755
2015,0.7781,1895,1822,1689,1594,1830,2098,2017,1910,1910,1811
2053,0.6617,1908,1824,1722,1641,1856,2112,2057,1930,1931,1798
2087,0.7728,1964,1859,1752,1661,1906,2182,2118,1957,1969,1848
2126,1,1943,1851,1775,1686,1913,2196,2125,2028,1999,1834
2142,0.8128,2003,1868,1769,1715,1942,2275,2161,2060,2037,1862
2177,0.8266,2052,1932,1784,1737,1955,2285,2215,2106,2045,1897
2208,0.9281,2056,1937,1808,1744,1996,2327,2251,2134,2115,1922
2258,0.8162,2134,2001,1881,1782,2059,2358,2317,2189,2106,1958
2303,0.8643,2119,2013,1893,1806,2074,2398,2318,2190,2132,1977
2318,0.8621,2161,2048,1922,1857,2131,2451,2322,2212,2238,2007
2402,0.7727,2243,2089,1990,1920,2140,2484,2381,2279,2208,2054
